TxPackets;TxTime;TxId;xPos;yPos
21603;2116;2;5;26
21622;2116;16;32;89
21641;2117;5;31;25
21660;2117;18;63;53
21679;2118;11;99;17
21698;2119;14;8;71
21717;2120;1;71;52
21736;2120;17;17;41
21755;2121;7;42;76
21774;2121;9;4;40
21793;2122;8;86;96
21812;2122;12;40;47
21831;2122;15;3;8
21850;2125;2;5;26
21869;2126;0;65;54
21888;2126;3;17;55
21907;2129;13;87;90
21926;2131;6;78;15
21945;2132;4;59;25
21964;2133;-1;66;72
21983;2135;10;42;16
22002;2136;16;32;89
22021;2137;5;31;25
22040;2137;18;63;53
22059;2138;11;99;17
22078;2139;14;8;71
